trimestre_dt,data_traffic,voice_traffic,revenue,total_lines,data_traffic_index,revenue_index,nsi,revenue_per_traffic,revenue_per_line,year,quarter
2005-01-01,1.09,41788.26,8530.07,64879857.0,100.0,100.0,1.6800283638109745e-08,7825.752293577981,0.0001314748582136,2005,1
2005-04-01,1.8,43561.15,9276.6,66542824.0,165.13761467889907,108.75174529634576,2.7050249625714717e-08,5153.666666666667,0.000139407969821,2005,2
2005-07-01,1.73,41117.87,9018.15,67862244.0,158.71559633027522,105.7218756704224,2.5492820426038373e-08,5212.803468208092,0.0001328890627312,2005,3
2006-01-01,2.97,41445.2,8967.33,72170631.0,272.4770642201835,105.12610095813986,4.1152473781197787e-08,3019.30303030303,0.000124251788792,2006,1
2006-04-01,2.1,41827.0,9473.97,73584559.0,192.6605504587156,111.06555983714084,2.8538595984518986e-08,4511.414285714285,0.0001287494296187,2006,2
2006-07-01,3.01,39787.52,9414.27,75185752.0,276.14678899082566,110.36568281385736,4.0034180944283166e-08,3127.664451827243,0.0001252134845974,2006,3
2006-10-01,2.25,43425.0,9910.64,76709457.0,206.42201834862385,116.1847440876804,2.9331455181595145e-08,4404.728888888889,0.0001291971079915,2006,4
2007-01-01,2.8,60082.4,10081.51,79744040.0,256.8807339449541,118.18789294812352,3.5112341938030726e-08,3600.539285714286,0.0001264233665613,2007,1
2007-04-01,4.2,60130.13,10645.78,80277755.0,385.3211009174312,124.80296175764092,5.231835394500009e-08,2534.709523809524,0.0001326118300144,2007,2
2007-07-01,5.82,57657.86,10299.08,81514422.0,533.9449541284404,120.73851679997938,7.139840849267139e-08,1769.6013745704463,0.0001263467218107,2007,3
2007-10-01,4.39,59959.99,10765.71,83237479.0,402.7522935779816,126.208929117815,5.274066505546137e-08,2452.325740318907,0.000129337290477,2007,4
2008-01-01,4.800000000000001,59888.27,10466.79,85265334.0,440.3669724770642,122.70462024344468,5.629485952638151e-08,2180.5812499999997,0.0001227555151546,2008,1
2008-04-01,7.46,61394.5,10800.18,86470952.0,684.4036697247706,126.61302896693698,8.627174591532194e-08,1447.745308310992,0.0001248995153887,2008,2
